IntMatrix: 6184 by 3
row 330:    538    535   1155 
row 331:    209    206    541 
row 332:    356   2062   1157 
row 333:    216    418    189 
row 334:   1154   1566   1158 
row 335:     10    215    366 
row 336:    363   1095   1159 
row 337:    218     13     14 
row 338:    369    116    117 
row 339:    192    214    191 
row 340:    380   1100   1388 
row 341:    214    373    191 
row 342:   1161   1265   2357 
row 343:    210    382    547 
row 344:    370   2233   2324 
row 345:    214    971    373 
row 346:    370   1843   1163 
row 347:    364    666    771 
row 348:    114    115   1101 
row 349:    215     11     12 
row 350:    369    647    772 
row 351:    207      6    553 
row 352:    975    372   1264 
row 353:    211    192    193 
row 354:    368   1189   1165 
row 355:    382    210    208 
row 356:     93     94    775 
row 357:    210    193    194 
row 358:    110    111    381 
row 359:    205    206    382 
row 360:    391    841    844 
row 361:    210    211    193 
row 362:    387    109    557 
row 363:    550    977    777 
row 364:     95     96    559 
row 365:    208    194    195 
row 366:    108    109    387 
row 367:    204    207    388 
row 368:    387    557    778 
row 369:    212    408    857 
row 370:    372    975    779 
row 371:    203    402    205 
row 372:   1004     98    678 
row 373:    196    382    195 
row 374:    383    988   1107 
row 375:    204    388    392 
row 376:    391    776   1166 
row 377:    205    196    197 
row 378:    108    387    674 
row 379:      3    204    392 
row 380:    386     94    566 
row 381:    857    553      7 
row 382:    396    395    680 
row 383:    200    203    198 
row 384:    394    562    568 
row 385:    203    197    198 
row 386:    394    568    569 
row 387:      2    676    201 
row 388:    678     99    398 
row 389:    203    205    197 
row 390:    682    103    395 
row 391:      1    201    200 
row 392:     99    100    398 
row 393:    201    202    402 
row 394:    398    102    397 
row 395:      3    392    676 
row 396:    100    101    398 
row 397:    200    199      0 
row 398:    460   1230    782 
row 399:     37     38    571 
row 400:    798    512    598 
row 401:    224    865   1676 
row 402:    453    504    784 
row 403:    300    570    782 
row 404:    292    855   1208 
row 405:    306    143    576 
row 406:    443    866    785 
row 407:   1168    239   1677 
row 408:    305     62     63 
row 409:     64    455     63 
row 410:    306    299    310 
row 411:    143    306    142 
row 412:    426    588   1169 
row 413:    232    593   1418 
row 414:    728    295    280 
row 415:   1206    491    851 
